Time,sys_ect\CCP:1,sys_iat\CCP:1,sys_bst_t\CCP:1,Current_gear_shift_position_(Current_gear),sys_pps_pct\CCP:1,fmsp_af_sp\CCP:1,Vehicle_Speed,knck_ron_fac\CCP:1,sys_map\CCP:1,afm_stk_flw_pct\CCP:1,sys_eng_spd\CCP:1,tq_clch_torq\CCP:1,hw_bat_vlt\CCP:1,afm_stk_flw\CCP:1,tq_imep_ref\CCP:1,sys_tps_pct\CCP:1,sys_fc_avg_rate\CCP:1,sys_bst_p\CCP:1,sys_trip_fc\CCP:1,Predicted_sum,,,
342000,35.20170455,22.1015625,22.25,3,9.307861328,13.58943537,31.61434659,1,45.3550071,35.15769265,1288.693182,13.10454545,14.0716575,0.171650835,453.5386364,8.281915838,0.666068892,88.23263494,63037.10512,33403.363,,,
343000,35.36418806,22.1015625,22.26478795,3,9.123257228,13.59082031,31.625,1,45.44405692,35.20736694,1288.241071,13.34821429,14.07571411,0.171933583,454.3649554,8.30481393,0.667672294,88.24651228,63707.18806,33966.387,,,
344000,35.60564471,22.1015625,22.2701295,3,8.864284207,13.59697881,31.63626126,1,45.33892877,35.09653452,1290.244369,13.24099099,14.07281989,0.171415037,452.8457207,8.293742962,0.67767279,88.24405265,64377.85389,34530.688,,,
345000,35.78392455,22.1015625,22.28730293,3,8.862304688,13.60302734,31.63851351,1,45.28666948,34.98227231,1288.079955,13.19988739,14.06988141,0.170876718,451.6171171,8.261300852,0.658906954,88.251654,65045.88035,35100.582,,,
346000,36.01471819,22.1015625,22.28250558,3,8.826310294,13.60302734,31.67578125,1,45.25683594,34.94862148,1287.919643,13.25446429,14.07182966,0.170720509,451.0212054,8.261898586,0.657566616,88.25648717,65706.09529,35674.23,,,
347000,36.19622748,22.1015625,22.28125,3,7.127614064,13.61512441,31.68918919,1,44.50105574,34.11898226,1284.596847,11.90146396,14.06587838,0.166644122,439.3744369,8.035993147,0.629011825,88.22459178,66356.99367,36252.707,,,
348000,36.39196227,22.1015625,22.29567849,3,6.839841551,13.61523438,31.6426661,1,43.94601633,33.62234305,1287.506757,11.11824324,14.0666086,0.16424643,432.8063063,7.970943966,0.635742188,88.22216357,66994.87979,36850.023,,,
349000,36.57326858,22.1015625,22.30236486,3,6.800801046,13.62301169,31.5995214,1,43.97438063,33.66347304,1284.719595,11.27871622,14.06849134,0.164432285,433.2736486,7.99428579,0.628915048,88.22248029,67611.38964,37472.508,,,
350000,36.76203547,22.1015625,22.29877534,3,6.547147734,13.62792969,31.53582489,1,43.94759994,33.61134572,1284.539414,11.28096847,14.06421119,0.164172198,432.4324324,7.982573638,0.639701225,88.22276182,68253.21495,38107.195,,,
351000,36.95916193,22.1015625,22.32052557,3,6.31652832,13.62937234,31.47961648,1,43.6256392,33.30277877,1282.478409,10.80227273,14.06675249,0.162663408,428.0431818,7.890292081,0.618936435,88.23117898,68878.38665,38699.285,,,
352000,37.10619469,22.1015625,22.33559181,3,4.467638404,13.64013672,31.39781527,1,42.27824253,31.85149336,1270.984513,7.01880531,14.06232284,0.155557278,408.7931416,7.272987028,0.558602392,88.27768944,69493.39934,39161.1,,,
353000,37.31151464,22.1015625,22.3129223,3,0,13.64013672,30.93616273,1,34.00007038,24.4457348,1221.326577,-14.7088964,14.04981349,0.119392464,307.625,5.352480777,0.354052295,88.2479589,69960.5252,39480.293,,,
354000,37.50684458,22.1015625,22.33089049,3,0,13.64811342,29.25884956,1,32.27405973,22.4637462,1114.675885,-19.48617257,14.03672912,0.109670993,281.4634956,4.617903718,0.322922428,88.12216538,70307.664,39738.934,,,
355000,37.67553491,22.1015625,22.34776182,4,0,13.65283203,26.37809685,1,32.46206363,22.23098343,926.7713964,-22.78153153,14.02232457,0.108623333,279.3079955,3.864625123,0.275768933,88.06302787,70615.91934,39973.727,,,
356000,37.88267544,22.1015625,22.38603344,4,0,13.65283203,23.06441886,1,34.25767544,23.25032552,774.2324561,-22.64583333,14.02609735,0.113572505,293.0553728,3.518516139,0.249991434,88.01524808,70875.16626,40211.31,,,
357000,38.07200169,22.1015625,22.39759291,4,0,13.66503906,20.66877815,1,36.13386824,24.65479395,753.2128378,-22.31193694,14.0246912,0.120430336,312.1475225,3.623288816,0.260557433,87.99081503,71137.96523,40453.31,,,
358000,38.27186067,22.1015625,22.43262615,3,0,13.66503906,18.33328555,1,36.12811783,24.6069112,763.1330275,-22.48279817,14.02462461,0.120189702,311.546445,3.60798967,0.264451333,87.97667001,71401.03226,40705.83,,,
359000,38.46683239,22.1015625,22.50589489,3,0,13.67288708,15.43863636,1,35.93611506,24.50694691,749.8863636,-22.20568182,14.03402877,0.119717407,309.7232955,3.601629084,0.257315341,88.00362216,71660.89261,40961.64,,,
